i,t,Capacity
67,6,592417
67,7,592417
67,8,592417
67,9,592417
67,10,592417
67,11,592417
67,12,592417
68,1,1635071
68,2,1635071
68,3,1635071
68,4,1635071
68,5,1635071
68,6,1635071
68,7,1635071
68,8,1635071
68,9,1635071
68,10,1635071
68,11,1635071
68,12,1635071
69,1,1635071
69,2,1635071
69,3,1635071
69,4,1635071
69,5,1635071
69,6,1635071
69,7,1635071
69,8,1635071
69,9,1635071
69,10,1635071
69,11,1635071
69,12,1635071
70,1,1635071
70,2,1635071
70,3,1635071
70,4,1635071
70,5,1635071
70,6,1635071
70,7,1635071
70,8,1635071
70,9,1635071
70,10,1635071
70,11,1635071
70,12,1635071
71,1,805687
71,2,805687
71,3,805687
71,4,805687
71,5,805687
71,6,805687
71,7,805687
71,8,805687
71,9,805687
71,10,805687
71,11,805687
71,12,805687
72,1,1303318
72,2,1303318
72,3,1303318
72,4,1303318
72,5,1303318
72,6,1303318
72,7,1303318
72,8,1303318
72,9,1303318
72,10,1303318
72,11,1303318
72,12,1303318
73,1,1469194
73,2,1469194
73,3,1469194
73,4,1469194
73,5,1469194
73,6,1469194
73,7,1469194
73,8,1469194
73,9,1469194
73,10,1469194
73,11,1469194
73,12,1469194
74,1,592417
74,2,592417
74,3,592417
74,4,592417
74,5,592417
74,6,592417
74,7,592417
74,8,592417
74,9,592417
74,10,592417
74,11,592417
74,12,592417
75,1,1753555
75,2,1753555
75,3,1753555
75,4,1753555
75,5,1753555
75,6,1753555
75,7,1753555
75,8,1753555
75,9,1753555
75,10,1753555
75,11,1753555
75,12,1753555
76,1,1848341
76,2,1848341
76,3,1848341
76,4,1848341
76,5,1848341
76,6,1848341
76,7,1848341
76,8,1848341
76,9,1848341
76,10,1848341
76,11,1848341
76,12,1848341
77,1,1421801
77,2,1421801
77,3,1421801
77,4,1421801
77,5,1421801
77,6,1421801
77,7,1421801
77,8,1421801
77,9,1421801
77,10,1421801
77,11,1421801
77,12,1421801
78,1,213270
78,2,213270
78,3,213270
78,4,213270
78,5,213270
78,6,213270
78,7,213270
78,8,213270
78,9,213270
78,10,213270
78,11,213270
78,12,213270
79,1,592417
79,2,592417
79,3,592417
79,4,592417
79,5,592417
79,6,592417
79,7,592417
79,8,592417
79,9,592417
79,10,592417
79,11,592417
79,12,592417
80,1,213270
80,2,213270
80,3,213270
80,4,213270
80,5,213270
80,6,213270
80,7,213270
80,8,213270
80,9,213270
80,10,213270
80,11,213270
80,12,213270
81,1,1090047
81,2,1090047
81,3,1090047
81,4,1090047
81,5,1090047
81,6,1090047
81,7,1090047
81,8,1090047
81,9,1090047
81,10,1090047
81,11,1090047
81,12,1090047
82,1,1635071
82,2,1635071
82,3,1635071
82,4,1635071
82,5,1635071
82,6,1635071
82,7,1635071
82,8,1635071
82,9,1635071
82,10,1635071
82,11,1635071
82,12,1635071
83,1,1635071
83,2,1635071
83,3,1635071
83,4,1635071
83,5,1635071
83,6,1635071
83,7,1635071
83,8,1635071
83,9,1635071
83,10,1635071
83,11,1635071
83,12,1635071
84,1,592417
84,2,592417
84,3,592417
84,4,592417
84,5,592417
84,6,592417
84,7,592417
84,8,592417
84,9,592417
84,10,592417
84,11,592417
84,12,592417
85,1,1255924
85,2,1255924
85,3,1255924
85,4,1255924
85,5,1255924
85,6,1255924
85,7,1255924
85,8,1255924
85,9,1255924
85,10,1255924
85,11,1255924
85,12,1255924
86,1,1255924
86,2,1255924
86,3,1255924
86,4,1255924
86,5,1255924
86,6,1255924
86,7,1255924
86,8,1255924
86,9,1255924
86,10,1255924
86,11,1255924
86,12,1255924
87,1,592417
87,2,592417
87,3,592417
87,4,592417
87,5,592417
87,6,592417
87,7,592417
87,8,592417
87,9,592417
87,10,592417
87,11,592417
87,12,592417
88,1,1635071
88,2,1635071
88,3,1635071
88,4,1635071
88,5,1635071
88,6,1635071
88,7,1635071
88,8,1635071
88,9,1635071
88,10,1635071
88,11,1635071
88,12,1635071
89,1,1635071
89,2,1635071
89,3,1635071
89,4,1635071
89,5,1635071
89,6,1635071
89,7,1635071
89,8,1635071
89,9,1635071
89,10,1635071
89,11,1635071
89,12,1635071
90,1,592417
90,2,592417
90,3,592417
90,4,592417
90,5,592417
90,6,592417
90,7,592417
90,8,592417
90,9,592417
90,10,592417
90,11,592417
90,12,592417
91,1,1090047
91,2,1090047
91,3,1090047
91,4,1090047
91,5,1090047
91,6,1090047
91,7,1090047
91,8,1090047
91,9,1090047
91,10,1090047
91,11,1090047
91,12,1090047
92,1,2132701
92,2,2132701
92,3,2132701
92,4,2132701
92,5,2132701
92,6,2132701
92,7,2132701
92,8,2132701
92,9,2132701
92,10,2132701
92,11,2132701
92,12,2132701
93,1,1848341
93,2,1848341
93,3,1848341
93,4,1848341
93,5,1848341
93,6,1848341
93,7,1848341
93,8,1848341
93,9,1848341
93,10,1848341
93,11,1848341
93,12,1848341
94,1,1635071
94,2,1635071
94,3,1635071
94,4,1635071
94,5,1635071
94,6,1635071
94,7,1635071
94,8,1635071
94,9,1635071
94,10,1635071
94,11,1635071
94,12,1635071
95,1,1090047
95,2,1090047
95,3,1090047
95,4,1090047
95,5,1090047
95,6,1090047
95,7,1090047
95,8,1090047
95,9,1090047
95,10,1090047
95,11,1090047
95,12,1090047
96,1,1635071
96,2,1635071
96,3,1635071
96,4,1635071
96,5,1635071
96,6,1635071
96,7,1635071
96,8,1635071
96,9,1635071
96,10,1635071
96,11,1635071
96,12,1635071
97,1,1635071
97,2,1635071
97,3,1635071
97,4,1635071
97,5,1635071
97,6,1635071
97,7,1635071
97,8,1635071
97,9,1635071
97,10,1635071
97,11,1635071
97,12,1635071
98,1,1848341
98,2,1848341
98,3,1848341
98,4,1848341
98,5,1848341
98,6,1848341
98,7,1848341
98,8,1848341
98,9,1848341
98,10,1848341
98,11,1848341
98,12,1848341
99,1,1090047
99,2,1090047
99,3,1090047
99,4,1090047
99,5,1090047
99,6,1090047
99,7,1090047
99,8,1090047
99,9,1090047
99,10,1090047
99,11,1090047
99,12,1090047
100,1,426540
100,2,426540
100,3,426540
100,4,426540
100,5,426540
100,6,426540
100,7,426540
100,8,426540
100,9,426540
100,10,426540
100,11,426540
100,12,426540
101,1,592417
101,2,592417
101,3,592417
101,4,592417
101,5,592417
101,6,592417
101,7,592417
101,8,592417
101,9,592417
101,10,592417
101,11,592417
101,12,592417
102,1,805687
102,2,805687
102,3,805687
102,4,805687
102,5,805687
102,6,805687
102,7,805687
102,8,805687
102,9,805687
102,10,805687
102,11,805687
102,12,805687
103,1,1635071
103,2,1635071
103,3,1635071
103,4,1635071
103,5,1635071
103,6,1635071
103,7,1635071
103,8,1635071
103,9,1635071
103,10,1635071
103,11,1635071
103,12,1635071
104,1,1255924
104,2,1255924
104,3,1255924
104,4,1255924
104,5,1255924
104,6,1255924
104,7,1255924
104,8,1255924
104,9,1255924
104,10,1255924
104,11,1255924
104,12,1255924
105,1,592417
105,2,592417
105,3,592417
105,4,592417
105,5,592417
105,6,592417
105,7,592417
105,8,592417
105,9,592417
105,10,592417
105,11,592417
105,12,592417
106,1,1635071
106,2,1635071
106,3,1635071
106,4,1635071
106,5,1635071
106,6,1635071
106,7,1635071
106,8,1635071
106,9,1635071
106,10,1635071
106,11,1635071
106,12,1635071
107,1,592417
107,2,592417
107,3,592417
107,4,592417
107,5,592417
107,6,592417
107,7,592417
107,8,592417
107,9,592417
107,10,592417
107,11,592417
107,12,592417
108,1,592417
108,2,592417
108,3,592417
108,4,592417
108,5,592417
108,6,592417
108,7,592417
108,8,592417
108,9,592417
108,10,592417
108,11,592417
108,12,592417
109,1,592417
109,2,592417
109,3,592417
109,4,592417
109,5,592417
109,6,592417
109,7,592417
109,8,592417
109,9,592417
109,10,592417
109,11,592417
109,12,592417
110,1,1635071
110,2,1635071
110,3,1635071
110,4,1635071
110,5,1635071
110,6,1635071
110,7,1635071
110,8,1635071
110,9,1635071
110,10,1635071
110,11,1635071
110,12,1635071
111,1,592417
111,2,592417
111,3,592417
111,4,592417
111,5,592417
111,6,592417
111,7,592417
111,8,592417
111,9,592417
111,10,592417
111,11,592417
111,12,592417
112,1,592417
112,2,592417
112,3,592417
112,4,592417
112,5,592417
112,6,592417
112,7,592417
112,8,592417
112,9,592417
112,10,592417
112,11,592417
112,12,592417
113,1,1255924
113,2,1255924
113,3,1255924
113,4,1255924
113,5,1255924
113,6,1255924
113,7,1255924
113,8,1255924
113,9,1255924
113,10,1255924
113,11,1255924
113,12,1255924
114,1,1255924
114,2,1255924
114,3,1255924
114,4,1255924
114,5,1255924
114,6,1255924
114,7,1255924
114,8,1255924
114,9,1255924
114,10,1255924
114,11,1255924
114,12,1255924
115,1,592417
115,2,592417
115,3,592417
115,4,592417
115,5,592417
115,6,592417
115,7,592417
115,8,592417
115,9,592417
115,10,592417
115,11,592417
115,12,592417
116,1,1753555
116,2,1753555
116,3,1753555
116,4,1753555
116,5,1753555
116,6,1753555
116,7,1753555
116,8,1753555
116,9,1753555
116,10,1753555
116,11,1753555
116,12,1753555
117,1,1635071
117,2,1635071
117,3,1635071
117,4,1635071
117,5,1635071
117,6,1635071
117,7,1635071
117,8,1635071
117,9,1635071
117,10,1635071
117,11,1635071
117,12,1635071
118,1,213270
118,2,213270
118,3,213270
118,4,213270
118,5,213270
118,6,213270
118,7,213270
118,8,213270
118,9,213270
118,10,213270
118,11,213270
118,12,213270
119,1,592417
119,2,592417
119,3,592417
119,4,592417
119,5,592417
119,6,592417
119,7,592417
119,8,592417
119,9,592417
119,10,592417
119,11,592417
119,12,592417
120,1,1255924
120,2,1255924
120,3,1255924
120,4,1255924
120,5,1255924
120,6,1255924
120,7,1255924
120,8,1255924
120,9,1255924
120,10,1255924
120,11,1255924
120,12,1255924
121,1,1090047
121,2,1090047
121,3,1090047
121,4,1090047
121,5,1090047
121,6,1090047
121,7,1090047
121,8,1090047
121,9,1090047
121,10,1090047
121,11,1090047
121,12,1090047
122,1,1090047
122,2,1090047
122,3,1090047
122,4,1090047
122,5,1090047
122,6,1090047
122,7,1090047
122,8,1090047
122,9,1090047
122,10,1090047
122,11,1090047
122,12,1090047
123,1,1255924
123,2,1255924
123,3,1255924
123,4,1255924
123,5,1255924
123,6,1255924
123,7,1255924
123,8,1255924
123,9,1255924
123,10,1255924
123,11,1255924
123,12,1255924
124,1,592417
124,2,592417
124,3,592417
124,4,592417
124,5,592417
124,6,592417
124,7,592417
124,8,592417
124,9,592417
124,10,592417
124,11,592417
124,12,592417
125,1,213270
125,2,213270
125,3,213270
125,4,213270
125,5,213270
125,6,213270
125,7,213270
125,8,213270
125,9,213270
125,10,213270
125,11,213270
125,12,213270
126,1,1635071
126,2,1635071
126,3,1635071
126,4,1635071
126,5,1635071
126,6,1635071
126,7,1635071
126,8,1635071
126,9,1635071
126,10,1635071
126,11,1635071
126,12,1635071
127,1,213270
127,2,213270
127,3,213270
127,4,213270
127,5,213270
127,6,213270
127,7,213270
127,8,213270
127,9,213270
127,10,213270
127,11,213270
127,12,213270
128,1,592417
128,2,592417
128,3,592417
128,4,592417
128,5,592417
128,6,592417
128,7,592417
128,8,592417
128,9,592417
128,10,592417
128,11,592417
128,12,592417
129,1,592417
129,2,592417
129,3,592417
129,4,592417
129,5,592417
129,6,592417
129,7,592417
129,8,592417
129,9,592417
129,10,592417
129,11,592417
129,12,592417
130,1,1090047
130,2,1090047
130,3,1090047
130,4,1090047
130,5,1090047
130,6,1090047
130,7,1090047
130,8,1090047
130,9,1090047
130,10,1090047
130,11,1090047
130,12,1090047
131,1,1635071
131,2,1635071
131,3,1635071
131,4,1635071
131,5,1635071
131,6,1635071
131,7,1635071
131,8,1635071
131,9,1635071
131,10,1635071
