i,j,t,demand
24,1,1,9799
24,1,2,9799
24,1,3,9799
24,1,4,9799
24,1,5,9799
24,1,6,9799
24,1,7,9799
24,1,8,9799
24,1,9,9799
24,1,10,9799
24,1,11,9799
24,1,12,9799
24,2,1,1525
24,2,2,1525
24,2,3,1525
24,2,4,1525
24,2,5,1525
24,2,6,1525
24,2,7,1525
24,2,8,1525
24,2,9,1525
24,2,10,1525
24,2,11,1525
24,2,12,1525
24,3,1,24
24,3,2,24
24,3,3,24
24,3,4,24
24,3,5,24
24,3,6,24
24,3,7,24
24,3,8,24
24,3,9,24
24,3,10,24
24,3,11,24
24,3,12,24
25,1,1,9799
25,1,2,9799
25,1,3,9799
25,1,4,9799
25,1,5,9799
25,1,6,9799
25,1,7,9799
25,1,8,9799
25,1,9,9799
25,1,10,9799
25,1,11,9799
25,1,12,9799
25,2,1,1525
25,2,2,1525
25,2,3,1525
25,2,4,1525
25,2,5,1525
25,2,6,1525
25,2,7,1525
25,2,8,1525
25,2,9,1525
25,2,10,1525
25,2,11,1525
25,2,12,1525
25,3,1,24
25,3,2,24
25,3,3,24
25,3,4,24
25,3,5,24
25,3,6,24
25,3,7,24
25,3,8,24
25,3,9,24
25,3,10,24
25,3,11,24
25,3,12,24
26,1,1,9799
26,1,2,9799
26,1,3,9799
26,1,4,9799
26,1,5,9799
26,1,6,9799
26,1,7,9799
26,1,8,9799
26,1,9,9799
26,1,10,9799
26,1,11,9799
26,1,12,9799
26,2,1,1525
26,2,2,1525
26,2,3,1525
26,2,4,1525
26,2,5,1525
26,2,6,1525
26,2,7,1525
26,2,8,1525
26,2,9,1525
26,2,10,1525
26,2,11,1525
26,2,12,1525
26,3,1,24
26,3,2,24
26,3,3,24
26,3,4,24
26,3,5,24
26,3,6,24
26,3,7,24
26,3,8,24
26,3,9,24
26,3,10,24
26,3,11,24
26,3,12,24
27,1,1,9799
27,1,2,9799
27,1,3,9799
27,1,4,9799
27,1,5,9799
27,1,6,9799
27,1,7,9799
27,1,8,9799
27,1,9,9799
27,1,10,9799
27,1,11,9799
27,1,12,9799
27,2,1,1525
27,2,2,1525
27,2,3,1525
27,2,4,1525
27,2,5,1525
27,2,6,1525
27,2,7,1525
27,2,8,1525
27,2,9,1525
27,2,10,1525
27,2,11,1525
27,2,12,1525
27,3,1,24
27,3,2,24
27,3,3,24
27,3,4,24
27,3,5,24
27,3,6,24
27,3,7,24
27,3,8,24
27,3,9,24
27,3,10,24
27,3,11,24
27,3,12,24
28,1,1,9799
28,1,2,9799
28,1,3,9799
28,1,4,9799
28,1,5,9799
28,1,6,9799
28,1,7,9799
28,1,8,9799
28,1,9,9799
28,1,10,9799
28,1,11,9799
28,1,12,9799
28,2,1,1525
28,2,2,1525
28,2,3,1525
28,2,4,1525
28,2,5,1525
28,2,6,1525
28,2,7,1525
28,2,8,1525
28,2,9,1525
28,2,10,1525
28,2,11,1525
28,2,12,1525
28,3,1,24
28,3,2,24
28,3,3,24
28,3,4,24
28,3,5,24
28,3,6,24
28,3,7,24
28,3,8,24
28,3,9,24
28,3,10,24
28,3,11,24
28,3,12,24
29,1,1,7850
29,1,2,7850
29,1,3,7850
29,1,4,7850
29,1,5,7850
29,1,6,7850
29,1,7,7850
29,1,8,7850
29,1,9,7850
29,1,10,7850
29,1,11,7850
29,1,12,7850
29,2,1,1221
29,2,2,1221
29,2,3,1221
29,2,4,1221
29,2,5,1221
29,2,6,1221
29,2,7,1221
29,2,8,1221
29,2,9,1221
29,2,10,1221
29,2,11,1221
29,2,12,1221
29,3,1,20
29,3,2,20
29,3,3,20
29,3,4,20
29,3,5,20
29,3,6,20
29,3,7,20
29,3,8,20
29,3,9,20
29,3,10,20
29,3,11,20
29,3,12,20
30,1,1,7850
30,1,2,7850
30,1,3,7850
30,1,4,7850
30,1,5,7850
30,1,6,7850
30,1,7,7850
30,1,8,7850
30,1,9,7850
30,1,10,7850
30,1,11,7850
30,1,12,7850
30,2,1,1221
30,2,2,1221
30,2,3,1221
30,2,4,1221
30,2,5,1221
30,2,6,1221
30,2,7,1221
30,2,8,1221
30,2,9,1221
30,2,10,1221
30,2,11,1221
30,2,12,1221
30,3,1,20
30,3,2,20
30,3,3,20
30,3,4,20
30,3,5,20
30,3,6,20
30,3,7,20
30,3,8,20
30,3,9,20
30,3,10,20
30,3,11,20
30,3,12,20
31,1,1,7850
31,1,2,7850
31,1,3,7850
31,1,4,7850
31,1,5,7850
31,1,6,7850
31,1,7,7850
31,1,8,7850
31,1,9,7850
31,1,10,7850
31,1,11,7850
31,1,12,7850
31,2,1,1221
31,2,2,1221
31,2,3,1221
31,2,4,1221
31,2,5,1221
31,2,6,1221
31,2,7,1221
31,2,8,1221
31,2,9,1221
31,2,10,1221
31,2,11,1221
31,2,12,1221
31,3,1,20
31,3,2,20
31,3,3,20
31,3,4,20
31,3,5,20
31,3,6,20
31,3,7,20
31,3,8,20
31,3,9,20
31,3,10,20
31,3,11,20
31,3,12,20
32,1,1,7850
32,1,2,7850
32,1,3,7850
32,1,4,7850
32,1,5,7850
32,1,6,7850
32,1,7,7850
32,1,8,7850
32,1,9,7850
32,1,10,7850
32,1,11,7850
32,1,12,7850
32,2,1,1221
32,2,2,1221
32,2,3,1221
32,2,4,1221
32,2,5,1221
32,2,6,1221
32,2,7,1221
32,2,8,1221
32,2,9,1221
32,2,10,1221
32,2,11,1221
32,2,12,1221
32,3,1,20
32,3,2,20
32,3,3,20
32,3,4,20
32,3,5,20
32,3,6,20
32,3,7,20
32,3,8,20
32,3,9,20
32,3,10,20
32,3,11,20
32,3,12,20
33,1,1,7850
33,1,2,7850
33,1,3,7850
33,1,4,7850
33,1,5,7850
33,1,6,7850
33,1,7,7850
33,1,8,7850
33,1,9,7850
33,1,10,7850
33,1,11,7850
33,1,12,7850
33,2,1,1221
33,2,2,1221
33,2,3,1221
33,2,4,1221
33,2,5,1221
33,2,6,1221
33,2,7,1221
33,2,8,1221
33,2,9,1221
33,2,10,1221
33,2,11,1221
33,2,12,1221
33,3,1,20
33,3,2,20
33,3,3,20
33,3,4,20
33,3,5,20
33,3,6,20
33,3,7,20
33,3,8,20
33,3,9,20
33,3,10,20
33,3,11,20
33,3,12,20
34,1,1,7850
34,1,2,7850
34,1,3,7850
34,1,4,7850
34,1,5,7850
34,1,6,7850
34,1,7,7850
34,1,8,7850
34,1,9,7850
34,1,10,7850
34,1,11,7850
34,1,12,7850
34,2,1,1221
34,2,2,1221
34,2,3,1221
34,2,4,1221
34,2,5,1221
34,2,6,1221
34,2,7,1221
34,2,8,1221
34,2,9,1221
34,2,10,1221
34,2,11,1221
34,2,12,1221
34,3,1,20
34,3,2,20
34,3,3,20
34,3,4,20
34,3,5,20
34,3,6,20
34,3,7,20
34,3,8,20
34,3,9,20
34,3,10,20
34,3,11,20
34,3,12,20
35,1,1,7850
35,1,2,7850
35,1,3,7850
35,1,4,7850
35,1,5,7850
35,1,6,7850
35,1,7,7850
35,1,8,7850
35,1,9,7850
35,1,10,7850
35,1,11,7850
35,1,12,7850
35,2,1,1221
35,2,2,1221
35,2,3,1221
35,2,4,1221
35,2,5,1221
35,2,6,1221
35,2,7,1221
35,2,8,1221
35,2,9,1221
35,2,10,1221
35,2,11,1221
35,2,12,1221
35,3,1,20
35,3,2,20
35,3,3,20
35,3,4,20
35,3,5,20
35,3,6,20
35,3,7,20
35,3,8,20
35,3,9,20
35,3,10,20
35,3,11,20
35,3,12,20
36,1,1,7850
36,1,2,7850
36,1,3,7850
36,1,4,7850
36,1,5,7850
36,1,6,7850
36,1,7,7850
36,1,8,7850
36,1,9,7850
36,1,10,7850
36,1,11,7850
36,1,12,7850
36,2,1,1221
36,2,2,1221
36,2,3,1221
36,2,4,1221
36,2,5,1221
36,2,6,1221
36,2,7,1221
36,2,8,1221
36,2,9,1221
36,2,10,1221
36,2,11,1221
36,2,12,1221
36,3,1,20
36,3,2,20
36,3,3,20
36,3,4,20
36,3,5,20
36,3,6,20
36,3,7,20
36,3,8,20
36,3,9,20
36,3,10,20
36,3,11,20
36,3,12,20
37,1,1,7850
37,1,2,7850
37,1,3,7850
37,1,4,7850
37,1,5,7850
37,1,6,7850
37,1,7,7850
37,1,8,7850
37,1,9,7850
37,1,10,7850
37,1,11,7850
37,1,12,7850
37,2,1,1221
37,2,2,1221
37,2,3,1221
37,2,4,1221
37,2,5,1221
37,2,6,1221
37,2,7,1221
37,2,8,1221
37,2,9,1221
37,2,10,1221
37,2,11,1221
37,2,12,1221
37,3,1,20
37,3,2,20
37,3,3,20
37,3,4,20
37,3,5,20
37,3,6,20
37,3,7,20
37,3,8,20
37,3,9,20
37,3,10,20
37,3,11,20
37,3,12,20
38,1,1,7850
38,1,2,7850
38,1,3,7850
38,1,4,7850
38,1,5,7850
38,1,6,7850
38,1,7,7850
38,1,8,7850
38,1,9,7850
38,1,10,7850
38,1,11,7850
38,1,12,7850
38,2,1,1221
38,2,2,1221
38,2,3,1221
38,2,4,1221
38,2,5,1221
38,2,6,1221
38,2,7,1221
38,2,8,1221
38,2,9,1221
38,2,10,1221
38,2,11,1221
38,2,12,1221
38,3,1,20
38,3,2,20
38,3,3,20
38,3,4,20
38,3,5,20
38,3,6,20
38,3,7,20
38,3,8,20
38,3,9,20
38,3,10,20
38,3,11,20
38,3,12,20
39,1,1,7850
39,1,2,7850
39,1,3,7850
39,1,4,7850
39,1,5,7850
39,1,6,7850
39,1,7,7850
39,1,8,7850
39,1,9,7850
39,1,10,7850
39,1,11,7850
39,1,12,7850
39,2,1,1221
39,2,2,1221
39,2,3,1221
39,2,4,1221
39,2,5,1221
39,2,6,1221
39,2,7,1221
39,2,8,1221
39,2,9,1221
39,2,10,1221
39,2,11,1221
39,2,12,1221
39,3,1,20
39,3,2,20
39,3,3,20
39,3,4,20
39,3,5,20
39,3,6,20
39,3,7,20
39,3,8,20
39,3,9,20
39,3,10,20
39,3,11,20
39,3,12,20
40,1,1,7850
40,1,2,7850
40,1,3,7850
40,1,4,7850
40,1,5,7850
40,1,6,7850
40,1,7,7850
40,1,8,7850
40,1,9,7850
40,1,10,7850
40,1,11,7850
40,1,12,7850
40,2,1,1221
40,2,2,1221
40,2,3,1221
40,2,4,1221
40,2,5,1221
40,2,6,1221
40,2,7,1221
40,2,8,1221
40,2,9,1221
40,2,10,1221
40,2,11,1221
40,2,12,1221
40,3,1,20
40,3,2,20
40,3,3,20
40,3,4,20
40,3,5,20
40,3,6,20
40,3,7,20
40,3,8,20
40,3,9,20
40,3,10,20
40,3,11,20
40,3,12,20
41,1,1,7238
41,1,2,7238
41,1,3,7238
41,1,4,7238
41,1,5,7238
41,1,6,7238
41,1,7,7238
41,1,8,7238
41,1,9,7238
41,1,10,7238
41,1,11,7238
