,Name,Value
602,"F_nurses_it[1,201]",-0.0
603,"N_nurses_it[1,202]",6.0
604,"H_nurses_it[1,202]",6.0
605,"F_nurses_it[1,202]",-0.0
606,"N_nurses_it[1,203]",6.0
607,"H_nurses_it[1,203]",6.0
608,"F_nurses_it[1,203]",-0.0
609,"N_nurses_it[1,204]",6.0
610,"H_nurses_it[1,204]",6.0
611,"F_nurses_it[1,204]",-0.0
612,"N_nurses_it[1,205]",6.0
613,"H_nurses_it[1,205]",6.0
614,"F_nurses_it[1,205]",-0.0
615,"N_nurses_it[1,206]",5.0
616,"H_nurses_it[1,206]",5.0
617,"F_nurses_it[1,206]",-0.0
618,"N_nurses_it[1,207]",5.0
619,"H_nurses_it[1,207]",5.0
620,"F_nurses_it[1,207]",-0.0
621,"N_nurses_it[1,208]",5.0
622,"H_nurses_it[1,208]",5.0
623,"F_nurses_it[1,208]",-0.0
624,"N_nurses_it[1,209]",5.0
625,"H_nurses_it[1,209]",5.0
626,"F_nurses_it[1,209]",-0.0
627,"N_nurses_it[1,210]",5.0
628,"H_nurses_it[1,210]",5.0
629,"F_nurses_it[1,210]",-0.0
630,"N_nurses_it[1,211]",5.0
631,"H_nurses_it[1,211]",5.0
632,"F_nurses_it[1,211]",-0.0
633,"N_nurses_it[1,212]",5.0
634,"H_nurses_it[1,212]",5.0
635,"F_nurses_it[1,212]",-0.0
636,"N_nurses_it[1,213]",5.0
637,"H_nurses_it[1,213]",5.0
638,"F_nurses_it[1,213]",-0.0
639,"N_nurses_it[1,214]",5.0
640,"H_nurses_it[1,214]",5.0
641,"F_nurses_it[1,214]",-0.0
642,"N_nurses_it[1,215]",5.0
643,"H_nurses_it[1,215]",5.0
644,"F_nurses_it[1,215]",-0.0
645,"N_nurses_it[1,216]",5.0
646,"H_nurses_it[1,216]",5.0
647,"F_nurses_it[1,216]",-0.0
648,"N_nurses_it[1,217]",5.0
649,"H_nurses_it[1,217]",5.0
650,"F_nurses_it[1,217]",-0.0
651,"N_nurses_it[1,218]",5.0
652,"H_nurses_it[1,218]",5.0
653,"F_nurses_it[1,218]",-0.0
654,"N_nurses_it[1,219]",5.0
655,"H_nurses_it[1,219]",5.0
656,"F_nurses_it[1,219]",-0.0
657,"N_nurses_it[1,220]",5.0
658,"H_nurses_it[1,220]",5.0
659,"F_nurses_it[1,220]",-0.0
660,"N_nurses_it[1,221]",5.0
661,"H_nurses_it[1,221]",5.0
662,"F_nurses_it[1,221]",-0.0
663,"N_nurses_it[1,222]",5.0
664,"H_nurses_it[1,222]",5.0
665,"F_nurses_it[1,222]",-0.0
666,"N_nurses_it[1,223]",5.0
667,"H_nurses_it[1,223]",5.0
668,"F_nurses_it[1,223]",-0.0
669,"N_nurses_it[1,224]",5.0
670,"H_nurses_it[1,224]",5.0
671,"F_nurses_it[1,224]",-0.0
672,"N_nurses_it[1,225]",5.0
673,"H_nurses_it[1,225]",5.0
674,"F_nurses_it[1,225]",-0.0
675,"N_nurses_it[1,226]",5.0
676,"H_nurses_it[1,226]",5.0
677,"F_nurses_it[1,226]",-0.0
678,"N_nurses_it[1,227]",5.0
679,"H_nurses_it[1,227]",5.0
680,"F_nurses_it[1,227]",-0.0
681,"N_nurses_it[1,228]",5.0
682,"H_nurses_it[1,228]",5.0
683,"F_nurses_it[1,228]",-0.0
684,"N_nurses_it[1,229]",5.0
685,"H_nurses_it[1,229]",5.0
686,"F_nurses_it[1,229]",-0.0
