i,t,Capacity
71,10,170000
71,11,170000
71,12,170000
72,1,275000
72,2,275000
72,3,275000
72,4,275000
72,5,275000
72,6,275000
72,7,275000
72,8,275000
72,9,275000
72,10,275000
72,11,275000
72,12,275000
73,1,310000
73,2,310000
73,3,310000
73,4,310000
73,5,310000
73,6,310000
73,7,310000
73,8,310000
73,9,310000
73,10,310000
73,11,310000
73,12,310000
74,1,125000
74,2,125000
74,3,125000
74,4,125000
74,5,125000
74,6,125000
74,7,125000
74,8,125000
74,9,125000
74,10,125000
74,11,125000
74,12,125000
75,1,370000
75,2,370000
75,3,370000
75,4,370000
75,5,370000
75,6,370000
75,7,370000
75,8,370000
75,9,370000
75,10,370000
75,11,370000
75,12,370000
76,1,390000
76,2,390000
76,3,390000
76,4,390000
76,5,390000
76,6,390000
76,7,390000
76,8,390000
76,9,390000
76,10,390000
76,11,390000
76,12,390000
77,1,300000
77,2,300000
77,3,300000
77,4,300000
77,5,300000
77,6,300000
77,7,300000
77,8,300000
77,9,300000
77,10,300000
77,11,300000
77,12,300000
78,1,45000
78,2,45000
78,3,45000
78,4,45000
78,5,45000
78,6,45000
78,7,45000
78,8,45000
78,9,45000
78,10,45000
78,11,45000
78,12,45000
79,1,125000
79,2,125000
79,3,125000
79,4,125000
79,5,125000
79,6,125000
79,7,125000
79,8,125000
79,9,125000
79,10,125000
79,11,125000
79,12,125000
80,1,45000
80,2,45000
80,3,45000
80,4,45000
80,5,45000
80,6,45000
80,7,45000
80,8,45000
80,9,45000
80,10,45000
80,11,45000
80,12,45000
81,1,230000
81,2,230000
81,3,230000
81,4,230000
81,5,230000
81,6,230000
81,7,230000
81,8,230000
81,9,230000
81,10,230000
81,11,230000
81,12,230000
82,1,345000
82,2,345000
82,3,345000
82,4,345000
82,5,345000
82,6,345000
82,7,345000
82,8,345000
82,9,345000
82,10,345000
82,11,345000
82,12,345000
83,1,345000
83,2,345000
83,3,345000
83,4,345000
83,5,345000
83,6,345000
83,7,345000
83,8,345000
83,9,345000
83,10,345000
83,11,345000
83,12,345000
84,1,125000
84,2,125000
84,3,125000
84,4,125000
84,5,125000
84,6,125000
84,7,125000
84,8,125000
84,9,125000
84,10,125000
84,11,125000
84,12,125000
85,1,265000
85,2,265000
85,3,265000
85,4,265000
85,5,265000
85,6,265000
85,7,265000
85,8,265000
85,9,265000
85,10,265000
85,11,265000
85,12,265000
86,1,265000
86,2,265000
86,3,265000
86,4,265000
86,5,265000
86,6,265000
86,7,265000
86,8,265000
86,9,265000
86,10,265000
86,11,265000
86,12,265000
87,1,125000
87,2,125000
87,3,125000
87,4,125000
87,5,125000
87,6,125000
87,7,125000
87,8,125000
87,9,125000
87,10,125000
87,11,125000
87,12,125000
88,1,345000
88,2,345000
88,3,345000
88,4,345000
88,5,345000
88,6,345000
88,7,345000
88,8,345000
88,9,345000
88,10,345000
88,11,345000
88,12,345000
89,1,345000
89,2,345000
89,3,345000
89,4,345000
89,5,345000
89,6,345000
89,7,345000
89,8,345000
89,9,345000
89,10,345000
89,11,345000
89,12,345000
90,1,125000
90,2,125000
90,3,125000
90,4,125000
90,5,125000
90,6,125000
90,7,125000
90,8,125000
90,9,125000
90,10,125000
90,11,125000
90,12,125000
91,1,230000
91,2,230000
91,3,230000
91,4,230000
91,5,230000
91,6,230000
91,7,230000
91,8,230000
91,9,230000
91,10,230000
91,11,230000
91,12,230000
92,1,450000
92,2,450000
92,3,450000
92,4,450000
92,5,450000
92,6,450000
92,7,450000
92,8,450000
92,9,450000
92,10,450000
92,11,450000
92,12,450000
93,1,390000
93,2,390000
93,3,390000
93,4,390000
93,5,390000
93,6,390000
93,7,390000
93,8,390000
93,9,390000
93,10,390000
93,11,390000
93,12,390000
94,1,345000
94,2,345000
94,3,345000
94,4,345000
94,5,345000
94,6,345000
94,7,345000
94,8,345000
94,9,345000
94,10,345000
94,11,345000
94,12,345000
95,1,230000
95,2,230000
95,3,230000
95,4,230000
95,5,230000
95,6,230000
95,7,230000
95,8,230000
95,9,230000
95,10,230000
95,11,230000
95,12,230000
96,1,345000
96,2,345000
96,3,345000
96,4,345000
96,5,345000
96,6,345000
96,7,345000
96,8,345000
96,9,345000
96,10,345000
96,11,345000
96,12,345000
97,1,345000
97,2,345000
97,3,345000
97,4,345000
97,5,345000
97,6,345000
97,7,345000
97,8,345000
97,9,345000
97,10,345000
97,11,345000
97,12,345000
98,1,390000
98,2,390000
98,3,390000
98,4,390000
98,5,390000
98,6,390000
98,7,390000
98,8,390000
98,9,390000
98,10,390000
98,11,390000
98,12,390000
99,1,230000
99,2,230000
99,3,230000
99,4,230000
99,5,230000
99,6,230000
99,7,230000
99,8,230000
99,9,230000
99,10,230000
99,11,230000
99,12,230000
100,1,90000
100,2,90000
100,3,90000
100,4,90000
100,5,90000
100,6,90000
100,7,90000
100,8,90000
100,9,90000
100,10,90000
100,11,90000
100,12,90000
101,1,125000
101,2,125000
101,3,125000
101,4,125000
101,5,125000
101,6,125000
101,7,125000
101,8,125000
101,9,125000
101,10,125000
101,11,125000
101,12,125000
102,1,170000
102,2,170000
102,3,170000
102,4,170000
102,5,170000
102,6,170000
102,7,170000
102,8,170000
102,9,170000
102,10,170000
102,11,170000
102,12,170000
103,1,345000
103,2,345000
103,3,345000
103,4,345000
103,5,345000
103,6,345000
103,7,345000
103,8,345000
103,9,345000
103,10,345000
103,11,345000
103,12,345000
104,1,265000
104,2,265000
104,3,265000
104,4,265000
104,5,265000
104,6,265000
104,7,265000
104,8,265000
104,9,265000
104,10,265000
104,11,265000
104,12,265000
105,1,125000
105,2,125000
105,3,125000
105,4,125000
105,5,125000
105,6,125000
105,7,125000
105,8,125000
105,9,125000
105,10,125000
105,11,125000
105,12,125000
106,1,345000
