i,j,demand
491,3,16260
492,1,104531
492,2,111501
492,3,16260
493,1,104531
493,2,111501
493,3,16260
494,1,104531
494,2,111501
494,3,16260
495,1,104531
495,2,111501
495,3,16260
496,1,104531
496,2,111501
496,3,16260
497,1,104531
497,2,111501
497,3,16260
498,1,104531
498,2,111501
498,3,16260
499,1,104531
499,2,111501
499,3,16260
500,1,104531
500,2,111501
500,3,16260
501,1,104531
501,2,111501
501,3,16260
502,1,104531
502,2,111501
502,3,16260
503,1,104531
503,2,111501
503,3,16260
504,1,104531
504,2,111501
504,3,16260
505,1,50496
505,2,53862
505,3,7855
506,1,50496
506,2,53862
506,3,7855
507,1,50496
507,2,53862
507,3,7855
508,1,50496
508,2,53862
508,3,7855
509,1,50496
509,2,53862
509,3,7855
510,1,50496
510,2,53862
510,3,7855
511,1,50496
511,2,53862
511,3,7855
512,1,60755
512,2,64804
512,3,9451
513,1,60755
513,2,64804
513,3,9451
514,1,60755
514,2,64804
514,3,9451
515,1,60755
515,2,64804
515,3,9451
516,1,60755
516,2,64804
516,3,9451
517,1,60755
517,2,64804
517,3,9451
518,1,105651
518,2,112694
518,3,16435
519,1,105651
519,2,112694
519,3,16435
520,1,105651
520,2,112694
520,3,16435
521,1,105651
521,2,112694
521,3,16435
522,1,105651
522,2,112694
522,3,16435
523,1,105651
523,2,112694
523,3,16435
524,1,105651
524,2,112694
524,3,16435
525,1,105651
525,2,112694
525,3,16435
526,1,105651
526,2,112694
526,3,16435
527,1,105651
527,2,112694
527,3,16435
528,1,105651
528,2,112694
528,3,16435
529,1,105651
529,2,112694
529,3,16435
530,1,105651
530,2,112694
530,3,16435
531,1,105651
531,2,112694
531,3,16435
532,1,105651
532,2,112694
532,3,16435
533,1,105651
533,2,112694
533,3,16435
534,1,105651
534,2,112694
534,3,16435
535,1,105651
535,2,112694
535,3,16435
536,1,92499
536,2,98666
536,3,14389
537,1,92499
537,2,98666
537,3,14389
538,1,92499
538,2,98666
538,3,14389
539,1,92499
539,2,98666
539,3,14389
540,1,92499
540,2,98666
540,3,14389
541,1,92499
541,2,98666
541,3,14389
542,1,92499
542,2,98666
542,3,14389
543,1,92499
543,2,98666
543,3,14389
544,1,92499
544,2,98666
544,3,14389
545,1,92499
545,2,98666
545,3,14389
546,1,92499
546,2,98666
546,3,14389
547,1,92499
547,2,98666
547,3,14389
548,1,92499
548,2,98666
548,3,14389
549,1,92499
549,2,98666
549,3,14389
550,1,92499
550,2,98666
550,3,14389
551,1,92499
551,2,98666
551,3,14389
552,1,92499
552,2,98666
552,3,14389
553,1,92499
553,2,98666
553,3,14389
554,1,92499
554,2,98666
554,3,14389
555,1,92499
555,2,98666
555,3,14389
556,1,95246
556,2,101595
556,3,14816
557,1,95246
557,2,101595
557,3,14816
558,1,95246
558,2,101595
558,3,14816
559,1,95246
559,2,101595
559,3,14816
560,1,95246
560,2,101595
560,3,14816
561,1,95246
561,2,101595
561,3,14816
562,1,95246
562,2,101595
562,3,14816
563,1,95246
563,2,101595
563,3,14816
564,1,95246
564,2,101595
564,3,14816
565,1,95246
565,2,101595
565,3,14816
566,1,95246
566,2,101595
566,3,14816
567,1,95246
567,2,101595
567,3,14816
568,1,95246
568,2,101595
568,3,14816
569,1,114200
569,2,121813
569,3,17764
570,1,114200
570,2,121813
570,3,17764
571,1,114200
571,2,121813
571,3,17764
572,1,114200
572,2,121813
572,3,17764
573,1,114200
573,2,121813
573,3,17764
574,1,114200
574,2,121813
574,3,17764
575,1,114200
575,2,121813
575,3,17764
576,1,114200
576,2,121813
576,3,17764
577,1,114200
577,2,121813
577,3,17764
578,1,114200
578,2,121813
578,3,17764
579,1,114200
579,2,121813
579,3,17764
580,1,114200
580,2,121813
580,3,17764
581,1,114200
581,2,121813
581,3,17764
582,1,114200
582,2,121813
582,3,17764
583,1,114200
583,2,121813
583,3,17764
584,1,114200
584,2,121813
584,3,17764
585,1,114200
585,2,121813
585,3,17764
586,1,104087
586,2,111026
586,3,16191
587,1,104087
587,2,111026
587,3,16191
588,1,104087
588,2,111026
588,3,16191
589,1,104087
589,2,111026
589,3,16191
590,1,104087
590,2,111026
590,3,16191
591,1,104087
591,2,111026
591,3,16191
592,1,104087
592,2,111026
592,3,16191
593,1,104087
593,2,111026
593,3,16191
594,1,104087
594,2,111026
594,3,16191
595,1,104087
595,2,111026
595,3,16191
596,1,104087
596,2,111026
596,3,16191
597,1,104087
597,2,111026
597,3,16191
598,1,104087
598,2,111026
598,3,16191
599,1,104087
599,2,111026
599,3,16191
600,1,104087
600,2,111026
600,3,16191
601,1,104087
601,2,111026
601,3,16191
602,1,104087
602,2,111026
602,3,16191
603,1,104087
603,2,111026
603,3,16191
604,1,104087
604,2,111026
604,3,16191
605,1,104087
605,2,111026
605,3,16191
606,1,104087
606,2,111026
606,3,16191
