i,j,t,demand
78,1,9,6685
78,1,10,6685
78,1,11,6685
78,1,12,6685
79,1,1,6685
79,1,2,6685
79,1,3,6685
79,1,4,6685
79,1,5,6685
79,1,6,6685
79,1,7,6685
79,1,8,6685
79,1,9,6685
79,1,10,6685
79,1,11,6685
79,1,12,6685
80,1,1,6685
80,1,2,6685
80,1,3,6685
80,1,4,6685
80,1,5,6685
80,1,6,6685
80,1,7,6685
80,1,8,6685
80,1,9,6685
80,1,10,6685
80,1,11,6685
80,1,12,6685
81,1,1,6685
81,1,2,6685
81,1,3,6685
81,1,4,6685
81,1,5,6685
81,1,6,6685
81,1,7,6685
81,1,8,6685
81,1,9,6685
81,1,10,6685
81,1,11,6685
81,1,12,6685
82,1,1,6685
82,1,2,6685
82,1,3,6685
82,1,4,6685
82,1,5,6685
82,1,6,6685
82,1,7,6685
82,1,8,6685
82,1,9,6685
82,1,10,6685
82,1,11,6685
82,1,12,6685
83,1,1,6685
83,1,2,6685
83,1,3,6685
83,1,4,6685
83,1,5,6685
83,1,6,6685
83,1,7,6685
83,1,8,6685
83,1,9,6685
83,1,10,6685
83,1,11,6685
83,1,12,6685
84,1,1,6685
84,1,2,6685
84,1,3,6685
84,1,4,6685
84,1,5,6685
84,1,6,6685
84,1,7,6685
84,1,8,6685
84,1,9,6685
84,1,10,6685
84,1,11,6685
84,1,12,6685
85,1,1,6685
85,1,2,6685
85,1,3,6685
85,1,4,6685
85,1,5,6685
85,1,6,6685
85,1,7,6685
85,1,8,6685
85,1,9,6685
85,1,10,6685
85,1,11,6685
85,1,12,6685
86,1,1,6685
86,1,2,6685
86,1,3,6685
86,1,4,6685
86,1,5,6685
86,1,6,6685
86,1,7,6685
86,1,8,6685
86,1,9,6685
86,1,10,6685
86,1,11,6685
86,1,12,6685
87,1,1,6685
87,1,2,6685
87,1,3,6685
87,1,4,6685
87,1,5,6685
87,1,6,6685
87,1,7,6685
87,1,8,6685
87,1,9,6685
87,1,10,6685
87,1,11,6685
87,1,12,6685
88,1,1,6685
88,1,2,6685
88,1,3,6685
88,1,4,6685
88,1,5,6685
88,1,6,6685
88,1,7,6685
88,1,8,6685
88,1,9,6685
88,1,10,6685
88,1,11,6685
88,1,12,6685
89,1,1,6685
89,1,2,6685
89,1,3,6685
89,1,4,6685
89,1,5,6685
89,1,6,6685
89,1,7,6685
89,1,8,6685
89,1,9,6685
89,1,10,6685
89,1,11,6685
89,1,12,6685
90,1,1,6685
90,1,2,6685
90,1,3,6685
90,1,4,6685
90,1,5,6685
90,1,6,6685
90,1,7,6685
90,1,8,6685
90,1,9,6685
90,1,10,6685
90,1,11,6685
90,1,12,6685
91,1,1,6685
91,1,2,6685
91,1,3,6685
91,1,4,6685
91,1,5,6685
91,1,6,6685
91,1,7,6685
91,1,8,6685
91,1,9,6685
91,1,10,6685
91,1,11,6685
91,1,12,6685
92,1,1,6685
92,1,2,6685
92,1,3,6685
92,1,4,6685
92,1,5,6685
92,1,6,6685
92,1,7,6685
92,1,8,6685
92,1,9,6685
92,1,10,6685
92,1,11,6685
92,1,12,6685
93,1,1,6082
93,1,2,6082
93,1,3,6082
93,1,4,6082
93,1,5,6082
93,1,6,6082
93,1,7,6082
93,1,8,6082
93,1,9,6082
93,1,10,6082
93,1,11,6082
93,1,12,6082
94,1,1,6082
94,1,2,6082
94,1,3,6082
94,1,4,6082
94,1,5,6082
94,1,6,6082
94,1,7,6082
94,1,8,6082
94,1,9,6082
94,1,10,6082
94,1,11,6082
94,1,12,6082
95,1,1,6082
95,1,2,6082
95,1,3,6082
95,1,4,6082
95,1,5,6082
95,1,6,6082
95,1,7,6082
95,1,8,6082
95,1,9,6082
95,1,10,6082
95,1,11,6082
95,1,12,6082
96,1,1,6082
96,1,2,6082
96,1,3,6082
96,1,4,6082
96,1,5,6082
96,1,6,6082
96,1,7,6082
96,1,8,6082
96,1,9,6082
96,1,10,6082
96,1,11,6082
96,1,12,6082
97,1,1,6082
97,1,2,6082
97,1,3,6082
97,1,4,6082
97,1,5,6082
97,1,6,6082
97,1,7,6082
97,1,8,6082
97,1,9,6082
97,1,10,6082
97,1,11,6082
97,1,12,6082
98,1,1,6082
98,1,2,6082
98,1,3,6082
98,1,4,6082
98,1,5,6082
98,1,6,6082
98,1,7,6082
98,1,8,6082
98,1,9,6082
98,1,10,6082
98,1,11,6082
98,1,12,6082
99,1,1,6082
99,1,2,6082
99,1,3,6082
99,1,4,6082
99,1,5,6082
99,1,6,6082
99,1,7,6082
99,1,8,6082
99,1,9,6082
99,1,10,6082
99,1,11,6082
99,1,12,6082
100,1,1,6082
100,1,2,6082
100,1,3,6082
100,1,4,6082
100,1,5,6082
100,1,6,6082
100,1,7,6082
100,1,8,6082
100,1,9,6082
100,1,10,6082
100,1,11,6082
100,1,12,6082
101,1,1,6082
101,1,2,6082
101,1,3,6082
101,1,4,6082
101,1,5,6082
101,1,6,6082
101,1,7,6082
101,1,8,6082
101,1,9,6082
101,1,10,6082
101,1,11,6082
101,1,12,6082
102,1,1,6082
102,1,2,6082
102,1,3,6082
102,1,4,6082
102,1,5,6082
102,1,6,6082
102,1,7,6082
102,1,8,6082
102,1,9,6082
102,1,10,6082
102,1,11,6082
102,1,12,6082
103,1,1,6082
103,1,2,6082
103,1,3,6082
103,1,4,6082
103,1,5,6082
103,1,6,6082
103,1,7,6082
103,1,8,6082
103,1,9,6082
103,1,10,6082
103,1,11,6082
103,1,12,6082
104,1,1,7718
104,1,2,7718
104,1,3,7718
104,1,4,7718
104,1,5,7718
104,1,6,7718
104,1,7,7718
104,1,8,7718
104,1,9,7718
104,1,10,7718
104,1,11,7718
104,1,12,7718
105,1,1,7718
105,1,2,7718
105,1,3,7718
105,1,4,7718
105,1,5,7718
105,1,6,7718
105,1,7,7718
105,1,8,7718
105,1,9,7718
105,1,10,7718
105,1,11,7718
105,1,12,7718
106,1,1,7718
106,1,2,7718
106,1,3,7718
106,1,4,7718
106,1,5,7718
106,1,6,7718
106,1,7,7718
106,1,8,7718
106,1,9,7718
106,1,10,7718
106,1,11,7718
106,1,12,7718
107,1,1,7718
107,1,2,7718
107,1,3,7718
107,1,4,7718
107,1,5,7718
107,1,6,7718
107,1,7,7718
107,1,8,7718
107,1,9,7718
107,1,10,7718
107,1,11,7718
107,1,12,7718
108,1,1,7718
108,1,2,7718
108,1,3,7718
108,1,4,7718
108,1,5,7718
108,1,6,7718
108,1,7,7718
108,1,8,7718
108,1,9,7718
108,1,10,7718
108,1,11,7718
108,1,12,7718
109,1,1,7718
109,1,2,7718
109,1,3,7718
109,1,4,7718
109,1,5,7718
109,1,6,7718
109,1,7,7718
109,1,8,7718
109,1,9,7718
109,1,10,7718
109,1,11,7718
109,1,12,7718
110,1,1,7718
110,1,2,7718
110,1,3,7718
110,1,4,7718
110,1,5,7718
110,1,6,7718
110,1,7,7718
110,1,8,7718
110,1,9,7718
110,1,10,7718
110,1,11,7718
110,1,12,7718
111,1,1,7718
111,1,2,7718
111,1,3,7718
111,1,4,7718
111,1,5,7718
111,1,6,7718
111,1,7,7718
111,1,8,7718
111,1,9,7718
111,1,10,7718
111,1,11,7718
111,1,12,7718
112,1,1,7718
112,1,2,7718
112,1,3,7718
112,1,4,7718
112,1,5,7718
112,1,6,7718
112,1,7,7718
112,1,8,7718
112,1,9,7718
112,1,10,7718
112,1,11,7718
112,1,12,7718
113,1,1,7718
113,1,2,7718
113,1,3,7718
113,1,4,7718
113,1,5,7718
113,1,6,7718
113,1,7,7718
113,1,8,7718
113,1,9,7718
113,1,10,7718
113,1,11,7718
113,1,12,7718
114,1,1,7718
114,1,2,7718
114,1,3,7718
114,1,4,7718
114,1,5,7718
114,1,6,7718
114,1,7,7718
114,1,8,7718
114,1,9,7718
114,1,10,7718
114,1,11,7718
114,1,12,7718
115,1,1,7718
115,1,2,7718
115,1,3,7718
115,1,4,7718
115,1,5,7718
115,1,6,7718
115,1,7,7718
115,1,8,7718
115,1,9,7718
115,1,10,7718
115,1,11,7718
115,1,12,7718
116,1,1,7718
116,1,2,7718
116,1,3,7718
116,1,4,7718
116,1,5,7718
116,1,6,7718
116,1,7,7718
116,1,8,7718
116,1,9,7718
116,1,10,7718
116,1,11,7718
116,1,12,7718
117,1,1,7718
117,1,2,7718
117,1,3,7718
117,1,4,7718
117,1,5,7718
117,1,6,7718
117,1,7,7718
117,1,8,7718
117,1,9,7718
117,1,10,7718
117,1,11,7718
117,1,12,7718
118,1,1,7718
118,1,2,7718
118,1,3,7718
118,1,4,7718
118,1,5,7718
118,1,6,7718
118,1,7,7718
118,1,8,7718
118,1,9,7718
118,1,10,7718
118,1,11,7718
118,1,12,7718
119,1,1,7718
119,1,2,7718
119,1,3,7718
119,1,4,7718
119,1,5,7718
119,1,6,7718
119,1,7,7718
119,1,8,7718
119,1,9,7718
119,1,10,7718
119,1,11,7718
119,1,12,7718
120,1,1,7718
120,1,2,7718
120,1,3,7718
120,1,4,7718
120,1,5,7718
120,1,6,7718
120,1,7,7718
120,1,8,7718
120,1,9,7718
120,1,10,7718
120,1,11,7718
120,1,12,7718
121,1,1,7718
121,1,2,7718
121,1,3,7718
121,1,4,7718
121,1,5,7718
121,1,6,7718
121,1,7,7718
121,1,8,7718
121,1,9,7718
121,1,10,7718
121,1,11,7718
121,1,12,7718
122,1,1,7718
122,1,2,7718
122,1,3,7718
122,1,4,7718
122,1,5,7718
122,1,6,7718
122,1,7,7718
122,1,8,7718
122,1,9,7718
122,1,10,7718
122,1,11,7718
122,1,12,7718
123,1,1,7718
123,1,2,7718
123,1,3,7718
123,1,4,7718
123,1,5,7718
123,1,6,7718
123,1,7,7718
123,1,8,7718
123,1,9,7718
123,1,10,7718
123,1,11,7718
123,1,12,7718
124,1,1,7140
124,1,2,7140
124,1,3,7140
124,1,4,7140
124,1,5,7140
124,1,6,7140
124,1,7,7140
124,1,8,7140
124,1,9,7140
124,1,10,7140
124,1,11,7140
124,1,12,7140
125,1,1,7140
125,1,2,7140
125,1,3,7140
125,1,4,7140
125,1,5,7140
125,1,6,7140
125,1,7,7140
125,1,8,7140
125,1,9,7140
125,1,10,7140
125,1,11,7140
125,1,12,7140
126,1,1,7140
126,1,2,7140
126,1,3,7140
126,1,4,7140
126,1,5,7140
126,1,6,7140
126,1,7,7140
126,1,8,7140
126,1,9,7140
126,1,10,7140
126,1,11,7140
126,1,12,7140
127,1,1,7140
127,1,2,7140
127,1,3,7140
127,1,4,7140
127,1,5,7140
127,1,6,7140
127,1,7,7140
127,1,8,7140
127,1,9,7140
127,1,10,7140
127,1,11,7140
127,1,12,7140
128,1,1,7140
128,1,2,7140
128,1,3,7140
128,1,4,7140
128,1,5,7140
128,1,6,7140
128,1,7,7140
128,1,8,7140
128,1,9,7140
128,1,10,7140
128,1,11,7140
128,1,12,7140
129,1,1,7140
129,1,2,7140
129,1,3,7140
129,1,4,7140
129,1,5,7140
129,1,6,7140
129,1,7,7140
129,1,8,7140
129,1,9,7140
129,1,10,7140
129,1,11,7140
129,1,12,7140
130,1,1,7140
130,1,2,7140
130,1,3,7140
