236,Gopalganj ,Kuchaikote CHC,"Kuchaikote CHC, Gopalganj "
237,Gopalganj ,Manjha CHC,"Manjha CHC, Gopalganj "
238,Gopalganj ,Panchadeori PHC,"Panchadeori PHC, Gopalganj "
239,Gopalganj ,Phulwariya PHC,"Phulwariya PHC, Gopalganj "
240,Gopalganj ,SIDHWALIYA PHC,"SIDHWALIYA PHC, Gopalganj "
241,Gopalganj ,THAWE PHC,"THAWE PHC, Gopalganj "
242,Gopalganj ,Uchakagaon CHC,"Uchakagaon CHC, Gopalganj "
243,Jamui ,Aliganj PHC,"Aliganj PHC, Jamui "
244,Jamui ,Barhat PHC,"Barhat PHC, Jamui "
245,Jamui ,Chakai PHC,"Chakai PHC, Jamui "
246,Jamui ,Gidhour PHC,"Gidhour PHC, Jamui "
247,Jamui ,Jamui Sadar Hospital DH,"Jamui Sadar Hospital DH, Jamui "
248,Jamui ,Jamui Urban PHC,"Jamui Urban PHC, Jamui "
249,Jamui ,Jhajha PHC,"Jhajha PHC, Jamui "
250,Jamui ,Khaira PHC,"Khaira PHC, Jamui "
251,Jamui ,Laxmipur PHC,"Laxmipur PHC, Jamui "
252,Jamui ,Sikandra PHC,"Sikandra PHC, Jamui "
253,Jamui ,Sono PHC,"Sono PHC, Jamui "
254,Jehanabad ,Ghoshi PHC,"Ghoshi PHC, Jehanabad "
255,Jehanabad ,Hulashganj PHC,"Hulashganj PHC, Jehanabad "
256,Jehanabad ,Jehanabad Sadar Hospital,"Jehanabad Sadar Hospital, Jehanabad "
257,Jehanabad ,Kako PHC,"Kako PHC, Jehanabad "
258,Jehanabad ,Makhdumpur PHC,"Makhdumpur PHC, Jehanabad "
259,Jehanabad ,Okari PHC,"Okari PHC, Jehanabad "
260,Jehanabad ,Ratni Faridpur PHC,"Ratni Faridpur PHC, Jehanabad "
261,Jehanabad ,Sikariyan PHC,"Sikariyan PHC, Jehanabad "
262,Kaimur ,Adhaura PHC,"Adhaura PHC, Kaimur "
263,Kaimur ,Bhabua Urban,"Bhabua Urban, Kaimur "
264,Kaimur ,Bhagwanpur PHC,"Bhagwanpur PHC, Kaimur "
265,Kaimur ,Chainpur PHC,"Chainpur PHC, Kaimur "
266,Kaimur ,Chand PHC,"Chand PHC, Kaimur "
267,Kaimur ,Durgawati PHC,"Durgawati PHC, Kaimur "
268,Kaimur ,Bhabua PHC,"Bhabua PHC, Kaimur "
269,Kaimur ,Kaimur DH,"Kaimur DH, Kaimur "
270,Kaimur ,Kudra PHC,"Kudra PHC, Kaimur "
271,Kaimur ,Mohaniya PHC,"Mohaniya PHC, Kaimur "
272,Kaimur ,Nuaon PHC,"Nuaon PHC, Kaimur "
273,Kaimur ,Ramgarh PHC,"Ramgarh PHC, Kaimur "
274,Kaimur ,Rampur PHC,"Rampur PHC, Kaimur "
275,Katihar ,Amdabad PHC,"Amdabad PHC, Katihar "
276,Katihar ,Azamnagar PHC,"Azamnagar PHC, Katihar "
277,Katihar ,Balrampur APHC,"Balrampur APHC, Katihar "
278,Katihar ,Barari PHC,"Barari PHC, Katihar "
279,Katihar ,Barsoi PHC,"Barsoi PHC, Katihar "
280,Katihar ,Beliya Belon PHC,"Beliya Belon PHC, Katihar "
281,Katihar ,Dhandkhora PHC,"Dhandkhora PHC, Katihar "
282,Katihar ,Falka PHC,"Falka PHC, Katihar "
283,Katihar ,Hasanganj PHC,"Hasanganj PHC, Katihar "
284,Katihar ,Kadawa PHC,"Kadawa PHC, Katihar "
285,Katihar ,Katihar Medical College,"Katihar Medical College, Katihar "
286,Katihar ,Katihar Railway Hospital,"Katihar Railway Hospital, Katihar "
287,Katihar ,Katihar Sadar Hospital DH,"Katihar Sadar Hospital DH, Katihar "
288,Katihar ,Katihar PHC,"Katihar PHC, Katihar "
289,Katihar ,Korha PHC,"Korha PHC, Katihar "
290,Katihar ,Kursela PHC,"Kursela PHC, Katihar "
291,Katihar ,Manihari PHC,"Manihari PHC, Katihar "
292,Katihar ,Manihari Referral Hospital,"Manihari Referral Hospital, Katihar "
293,Katihar ,Mansahi PHC,"Mansahi PHC, Katihar "
294,Katihar ,Pranpur PHC,"Pranpur PHC, Katihar "
295,Katihar ,Sameli PHC,"Sameli PHC, Katihar "
296,Katihar ,Shalmari APHC,"Shalmari APHC, Katihar "
297,Katihar ,Balrampur PHC,"Balrampur PHC, Katihar "
298,Khagaria ,Alauli PHC,"Alauli PHC, Khagaria "
299,Khagaria ,Beldaur PHC,"Beldaur PHC, Khagaria "
300,Khagaria ,Gogari CHC,"Gogari CHC, Khagaria "
301,Khagaria ,Khagaria PHC,"Khagaria PHC, Khagaria "
302,Khagaria ,Chautham PHC,"Chautham PHC, Khagaria "
303,Khagaria ,Prawatta PHC,"Prawatta PHC, Khagaria "
304,Khagaria ,Mansi PHC,"Mansi PHC, Khagaria "
305,Kishanganj ,Bahadurganj PHC,"Bahadurganj PHC, Kishanganj "
306,Kishanganj ,Chatargachh Referral Hospital,"Chatargachh Referral Hospital, Kishanganj "
307,Kishanganj ,Dighalbank PHC,"Dighalbank PHC, Kishanganj "
308,Kishanganj ,Kishanganj DH,"Kishanganj DH, Kishanganj "
309,Kishanganj ,"MGM Medical College &
Hospital Kishanganj","MGM Medical College &
Hospital Kishanganj, Kishanganj "
310,Kishanganj ,Kishanganj Belva PHC,"Kishanganj Belva PHC, Kishanganj "
311,Kishanganj ,Kochadaman PHC,"Kochadaman PHC, Kishanganj "
312,Kishanganj ,Pothiya PHC,"Pothiya PHC, Kishanganj "
313,Kishanganj ,Terhagchh PHC,"Terhagchh PHC, Kishanganj "
314,Kishanganj ,Thakurganj PHC,"Thakurganj PHC, Kishanganj "
315,Lakhisarai ,Barahiya PHC,"Barahiya PHC, Lakhisarai "
316,Lakhisarai ,Ghosaith APHC,"Ghosaith APHC, Lakhisarai "
317,Lakhisarai ,Halsi PHC,"Halsi PHC, Lakhisarai "
318,Lakhisarai ,Lakhisarai PHC,"Lakhisarai PHC, Lakhisarai "
319,Lakhisarai ,Lakhisarai Sadar Hospital DH,"Lakhisarai Sadar Hospital DH, Lakhisarai "
320,Lakhisarai ,Pipairya PHC,"Pipairya PHC, Lakhisarai "
321,Lakhisarai ,Ramgarh PHC,"Ramgarh PHC, Lakhisarai "
322,Lakhisarai ,Surajgraha PHC,"Surajgraha PHC, Lakhisarai "
323,Madhepura ,Alamnagar PHC,"Alamnagar PHC, Madhepura "
324,Madhepura ,Bihariganj PHC,"Bihariganj PHC, Madhepura "
325,Madhepura ,Chausa PHC,"Chausa PHC, Madhepura "
