i,j,t,demand
49,1,6,1126
49,1,7,1126
49,1,8,1126
49,1,9,1126
49,1,10,1126
49,1,11,1126
49,1,12,1126
49,2,1,18
49,2,2,18
49,2,3,18
49,2,4,18
49,2,5,18
49,2,6,18
49,2,7,18
49,2,8,18
49,2,9,18
49,2,10,18
49,2,11,18
49,2,12,18
50,1,1,1126
50,1,2,1126
50,1,3,1126
50,1,4,1126
50,1,5,1126
50,1,6,1126
50,1,7,1126
50,1,8,1126
50,1,9,1126
50,1,10,1126
50,1,11,1126
50,1,12,1126
50,2,1,18
50,2,2,18
50,2,3,18
50,2,4,18
50,2,5,18
50,2,6,18
50,2,7,18
50,2,8,18
50,2,9,18
50,2,10,18
50,2,11,18
50,2,12,18
51,1,1,1126
51,1,2,1126
51,1,3,1126
51,1,4,1126
51,1,5,1126
51,1,6,1126
51,1,7,1126
51,1,8,1126
51,1,9,1126
51,1,10,1126
51,1,11,1126
51,1,12,1126
51,2,1,18
51,2,2,18
51,2,3,18
51,2,4,18
51,2,5,18
51,2,6,18
51,2,7,18
51,2,8,18
51,2,9,18
51,2,10,18
51,2,11,18
51,2,12,18
52,1,1,1126
52,1,2,1126
52,1,3,1126
52,1,4,1126
52,1,5,1126
52,1,6,1126
52,1,7,1126
52,1,8,1126
52,1,9,1126
52,1,10,1126
52,1,11,1126
52,1,12,1126
52,2,1,18
52,2,2,18
52,2,3,18
52,2,4,18
52,2,5,18
52,2,6,18
52,2,7,18
52,2,8,18
52,2,9,18
52,2,10,18
52,2,11,18
52,2,12,18
53,1,1,1126
53,1,2,1126
53,1,3,1126
53,1,4,1126
53,1,5,1126
53,1,6,1126
53,1,7,1126
53,1,8,1126
53,1,9,1126
53,1,10,1126
53,1,11,1126
53,1,12,1126
53,2,1,18
53,2,2,18
53,2,3,18
53,2,4,18
53,2,5,18
53,2,6,18
53,2,7,18
53,2,8,18
53,2,9,18
53,2,10,18
53,2,11,18
53,2,12,18
54,1,1,1126
54,1,2,1126
54,1,3,1126
54,1,4,1126
54,1,5,1126
54,1,6,1126
54,1,7,1126
54,1,8,1126
54,1,9,1126
54,1,10,1126
54,1,11,1126
54,1,12,1126
54,2,1,18
54,2,2,18
54,2,3,18
54,2,4,18
54,2,5,18
54,2,6,18
54,2,7,18
54,2,8,18
54,2,9,18
54,2,10,18
54,2,11,18
54,2,12,18
55,1,1,1126
55,1,2,1126
55,1,3,1126
55,1,4,1126
55,1,5,1126
55,1,6,1126
55,1,7,1126
55,1,8,1126
55,1,9,1126
55,1,10,1126
55,1,11,1126
55,1,12,1126
55,2,1,18
55,2,2,18
55,2,3,18
55,2,4,18
55,2,5,18
55,2,6,18
55,2,7,18
55,2,8,18
55,2,9,18
55,2,10,18
55,2,11,18
55,2,12,18
56,1,1,1126
56,1,2,1126
56,1,3,1126
56,1,4,1126
56,1,5,1126
56,1,6,1126
56,1,7,1126
56,1,8,1126
56,1,9,1126
56,1,10,1126
56,1,11,1126
56,1,12,1126
56,2,1,18
56,2,2,18
56,2,3,18
56,2,4,18
56,2,5,18
56,2,6,18
56,2,7,18
56,2,8,18
56,2,9,18
56,2,10,18
56,2,11,18
56,2,12,18
57,1,1,1126
57,1,2,1126
57,1,3,1126
57,1,4,1126
57,1,5,1126
57,1,6,1126
57,1,7,1126
57,1,8,1126
57,1,9,1126
57,1,10,1126
57,1,11,1126
57,1,12,1126
57,2,1,18
57,2,2,18
57,2,3,18
57,2,4,18
57,2,5,18
57,2,6,18
57,2,7,18
57,2,8,18
57,2,9,18
57,2,10,18
57,2,11,18
57,2,12,18
58,1,1,1126
58,1,2,1126
58,1,3,1126
58,1,4,1126
58,1,5,1126
58,1,6,1126
58,1,7,1126
58,1,8,1126
58,1,9,1126
58,1,10,1126
58,1,11,1126
58,1,12,1126
58,2,1,18
58,2,2,18
58,2,3,18
58,2,4,18
58,2,5,18
58,2,6,18
58,2,7,18
58,2,8,18
58,2,9,18
58,2,10,18
58,2,11,18
58,2,12,18
59,1,1,1126
59,1,2,1126
59,1,3,1126
59,1,4,1126
59,1,5,1126
59,1,6,1126
59,1,7,1126
59,1,8,1126
59,1,9,1126
59,1,10,1126
59,1,11,1126
59,1,12,1126
59,2,1,18
59,2,2,18
59,2,3,18
59,2,4,18
59,2,5,18
59,2,6,18
59,2,7,18
59,2,8,18
59,2,9,18
59,2,10,18
59,2,11,18
59,2,12,18
60,1,1,1287
60,1,2,1287
60,1,3,1287
60,1,4,1287
60,1,5,1287
60,1,6,1287
60,1,7,1287
60,1,8,1287
60,1,9,1287
